DriversKilled,drivers,front,rear,kms,PetrolPrice,VanKilled,law,time,asof_date,hour,day,value
152,2118,916,418,12701,0.0828536069623417,10,0,1973-11-01,1973-11-01,11,1973,12701
136,2150,992,419,10431,0.0941901186933595,13,0,1973-12-01,1973-12-01,12,1973,10431
113,1608,731,262,11616,0.0923998429510411,8,0,1974-01-01,1974-01-01,1,1974,11616
100,1503,665,299,10808,0.108161478199019,6,0,1974-02-01,1974-02-01,2,1974,10808
103,1548,724,303,12421,0.10721168869022998,8,0,1974-03-01,1974-03-01,3,1974,12421
103,1382,744,401,13605,0.11404296678208198,14,0,1974-04-01,1974-04-01,4,1974,13605
121,1731,910,413,14455,0.11245411581018301,12,0,1974-05-01,1974-05-01,5,1974,14455
134,1798,883,426,15019,0.11131625329061098,14,0,1974-06-01,1974-06-01,6,1974,15019
133,1779,900,516,15662,0.11030125221242,13,0,1974-07-01,1974-07-01,7,1974,15662
129,1887,1057,600,16745,0.108197177376865,9,0,1974-08-01,1974-08-01,8,1974,16745
144,2004,1076,459,14717,0.107027443082328,4,0,1974-09-01,1974-09-01,9,1974,14717
154,2077,919,443,13756,0.10494698091691698,13,0,1974-10-01,1974-10-01,10,1974,13756
156,2092,920,412,12531,0.11935774919320802,6,0,1974-11-01,1974-11-01,11,1974,12531
163,2051,953,400,12568,0.117621904277373,15,0,1974-12-01,1974-12-01,12,1974,12568
122,1577,664,278,11249,0.13302742087745098,12,0,1975-01-01,1975-01-01,1,1975,11249
92,1356,607,302,11096,0.13084524368972902,16,0,1975-02-01,1975-02-01,2,1975,11096
117,1652,777,381,12637,0.12831847747477199,7,0,1975-03-01,1975-03-01,3,1975,12637
95,1382,633,279,13018,0.123547448292297,12,0,1975-04-01,1975-04-01,4,1975,13018
96,1519,791,442,15005,0.118586811514179,10,0,1975-05-01,1975-05-01,5,1975,15005
108,1421,790,409,15235,0.116337480161004,9,0,1975-06-01,1975-06-01,6,1975,15235
108,1442,803,416,15552,0.11516147558196001,9,0,1975-07-01,1975-07-01,7,1975,15552
106,1543,884,511,16905,0.11450119721686698,6,0,1975-08-01,1975-08-01,8,1975,16905
140,1656,769,393,14776,0.11352297949981699,7,0,1975-09-01,1975-09-01,9,1975,14776
114,1561,732,345,14104,0.111930179432996,13,0,1975-10-01,1975-10-01,10,1975,14104
158,1905,859,391,12854,0.11061052850336099,14,0,1975-11-01,1975-11-01,11,1975,12854
161,2199,994,470,12956,0.11527438914664,13,0,1975-12-01,1975-12-01,12,1975,12956
102,1473,704,266,12177,0.11379348596603399,14,0,1976-01-01,1976-01-01,1,1976,12177
127,1655,684,312,11918,0.11234958209818902,11,0,1976-02-01,1976-02-01,2,1976,11918
125,1407,671,300,13517,0.11175346938718903,11,0,1976-03-01,1976-03-01,3,1976,13517
101,1395,643,373,14417,0.109642522576533,10,0,1976-04-01,1976-04-01,4,1976,14417
97,1530,771,412,15911,0.10844089510559,4,0,1976-05-01,1976-05-01,5,1976,15911
112,1309,644,322,15589,0.10788493893611399,8,0,1976-06-01,1976-06-01,6,1976,15589
112,1526,828,458,16543,0.10908476919145402,9,0,1976-07-01,1976-07-01,7,1976,16543
113,1327,748,427,17925,0.10757145011127099,10,0,1976-08-01,1976-08-01,8,1976,17925
108,1627,767,346,15406,0.106164022368002,10,0,1976-09-01,1976-09-01,9,1976,15406
128,1748,825,421,14601,0.10629999932331899,5,0,1976-10-01,1976-10-01,10,1976,14601
154,1958,810,344,13107,0.10482531300008802,13,0,1976-11-01,1976-11-01,11,1976,13107
162,2274,986,370,12268,0.10345174571181501,12,0,1976-12-01,1976-12-01,12,1976,12268
112,1648,714,291,11972,0.10144992012949301,10,0,1977-01-01,1977-01-01,1,1977,11972
79,1401,567,224,12028,0.100402316427863,9,0,1977-02-01,1977-02-01,2,1977,12028
82,1411,616,266,14033,0.09886203368019199,7,0,1977-03-01,1977-03-01,3,1977,14033
127,1403,678,338,14244,0.10249615431352099,5,0,1977-04-01,1977-04-01,4,1977,14244
108,1394,742,298,15287,0.10302743159973599,10,0,1977-05-01,1977-05-01,5,1977,15287
110,1520,840,386,16954,0.10217890822065501,5,0,1977-06-01,1977-06-01,6,1977,16954
123,1528,888,479,17361,0.0998366428726473,6,0,1977-07-01,1977-07-01,7,1977,17361
103,1643,852,473,17694,0.0926366895833353,8,0,1977-08-01,1977-08-01,8,1977,17694
97,1515,774,332,16222,0.0918149629077569,6,0,1977-09-01,1977-09-01,9,1977,16222
140,1685,831,391,14969,0.090724303768407,12,0,1977-10-01,1977-10-01,10,1977,14969
165,2000,889,370,13624,0.0900212072768793,15,0,1977-11-01,1977-11-01,11,1977,13624
183,2215,1046,431,13842,0.0893307058230937,7,0,1977-12-01,1977-12-01,12,1977,13842
148,1956,889,366,12387,0.0884427348717763,14,0,1978-01-01,1978-01-01,1,1978,12387
111,1462,626,250,11608,0.0883525692744791,4,0,1978-02-01,1978-02-01,2,1978,11608
116,1563,808,355,15021,0.0867573619308237,10,0,1978-03-01,1978-03-01,3,1978,15021
115,1459,746,304,14834,0.0849952420449752,8,0,1978-04-01,1978-04-01,4,1978,14834
100,1446,754,379,16565,0.0845679437213488,7,0,1978-05-01,1978-05-01,5,1978,16565
106,1622,865,440,16882,0.0844318988774436,11,0,1978-06-01,1978-06-01,6,1978,16882
134,1657,980,500,18012,0.0843508831482932,3,0,1978-07-01,1978-07-01,7,1978,18012
125,1638,959,511,18855,0.0836009830491076,5,0,1978-08-01,1978-08-01,8,1978,18855
117,1643,856,384,17243,0.0834172630524962,11,0,1978-09-01,1978-09-01,9,1978,17243
122,1683,798,366,16045,0.0827451397987249,10,0,1978-10-01,1978-10-01,10,1978,16045
153,2050,942,432,14745,0.0852352669035281,10,0,1978-11-01,1978-11-01,11,1978,14745
178,2262,1010,390,13726,0.0847703028296526,7,0,1978-12-01,1978-12-01,12,1978,13726
114,1813,796,306,11196,0.0844589214084587,10,0,1979-01-01,1979-01-01,1,1979,11196
94,1445,643,232,12105,0.08535211924476299,11,0,1979-02-01,1979-02-01,2,1979,12105
128,1762,794,342,14723,0.0875592125175749,9,0,1979-03-01,1979-03-01,3,1979,14723
119,1461,750,329,15582,0.0903829170614837,7,0,1979-04-01,1979-04-01,4,1979,15582
111,1556,809,394,16863,0.0907832937355188,8,0,1979-05-01,1979-05-01,5,1979,16863
110,1431,716,355,16758,0.10874278021986801,13,0,1979-06-01,1979-06-01,6,1979,16758
114,1427,851,385,17434,0.114142227335262,8,0,1979-07-01,1979-07-01,7,1979,17434
118,1554,931,463,18359,0.112992933231466,5,0,1979-08-01,1979-08-01,8,1979,18359
115,1645,834,453,17189,0.11132070602979599,8,0,1979-09-01,1979-09-01,9,1979,17189
132,1653,762,373,16909,0.109126229280665,7,0,1979-10-01,1979-10-01,10,1979,16909
153,2016,880,401,15380,0.107698459343112,12,0,1979-11-01,1979-11-01,11,1979,15380
171,2207,1077,466,15161,0.107601574334496,10,0,1979-12-01,1979-12-01,12,1979,15161
115,1665,748,306,14027,0.10377501920284302,7,0,1980-01-01,1980-01-01,1,1980,14027
95,1361,593,263,14478,0.107114170431059,4,0,1980-02-01,1980-02-01,2,1980,14478
92,1506,720,323,16155,0.10737477437075699,10,0,1980-03-01,1980-03-01,3,1980,16155
100,1360,646,310,16585,0.11169537268955901,4,0,1980-04-01,1980-04-01,4,1980,16585
95,1453,765,424,18117,0.110638184592354,8,0,1980-05-01,1980-05-01,5,1980,18117
114,1522,820,403,17552,0.111855211329895,8,0,1980-06-01,1980-06-01,6,1980,17552
102,1460,807,406,18299,0.10974234268333699,7,0,1980-07-01,1980-07-01,7,1980,18299
104,1552,885,466,19361,0.108193931510232,10,0,1980-08-01,1980-08-01,8,1980,19361
132,1548,803,381,17924,0.106255362697951,8,0,1980-09-01,1980-09-01,9,1980,17924
136,1827,860,369,17872,0.104193034427699,14,0,1980-10-01,1980-10-01,10,1980,17872
117,1737,825,378,16058,0.10193397288090199,8,0,1980-11-01,1980-11-01,11,1980,16058
137,1941,911,392,15746,0.102793824574291,9,0,1980-12-01,1980-12-01,12,1980,15746
111,1474,704,284,15226,0.10476034144928999,8,0,1981-01-01,1981-01-01,1,1981,15226
106,1458,691,316,14932,0.10400253553434698,6,0,1981-02-01,1981-02-01,2,1981,14932
98,1542,688,321,16846,0.11665551540242401,7,0,1981-03-01,1981-03-01,3,1981,16846
84,1404,714,358,16854,0.11516147558196001,6,0,1981-04-01,1981-04-01,4,1981,16854
94,1522,814,378,18146,0.11298954349431599,5,0,1981-05-01,1981-05-01,5,1981,18146
105,1385,736,382,17559,0.11386064393240598,4,0,1981-06-01,1981-06-01,6,1981,17559
123,1641,876,433,18655,0.119118081064489,5,0,1981-07-01,1981-07-01,7,1981,18655
109,1510,829,506,19453,0.12448998600588601,10,0,1981-08-01,1981-08-01,8,1981,19453
130,1681,818,428,17923,0.123222945411622,7,0,1981-09-01,1981-09-01,9,1981,17923
153,1938,942,479,17915,0.12067793212866001,10,0,1981-10-01,1981-10-01,10,1981,17915
134,1868,782,370,16496,0.12104898265142099,12,0,1981-11-01,1981-11-01,11,1981,16496
99,1726,823,349,13544,0.11696857149148701,7,0,1981-12-01,1981-12-01,12,1981,13544
115,1456,595,238,13601,0.112750259392875,4,0,1982-01-01,1982-01-01,1,1982,13601
104,1445,673,285,15667,0.108079306704711,5,0,1982-02-01,1982-02-01,2,1982,15667
131,1456,660,324,17358,0.108838515984019,6,0,1982-03-01,1982-03-01,3,1982,17358
108,1365,676,346,18112,0.11129176640854198,4,0,1982-04-01,1982-04-01,4,1982,18112
103,1487,755,410,18581,0.11130400917618699,4,0,1982-05-01,1982-05-01,5,1982,18581
115,1558,815,411,18759,0.11545435753255301,8,0,1982-06-01,1982-06-01,6,1982,18759
122,1488,867,496,20668,0.11476829605569198,8,0,1982-07-01,1982-07-01,7,1982,20668
122,1684,933,534,21040,0.11720743093112199,3,0,1982-08-01,1982-08-01,8,1982,21040
125,1594,798,396,18993,0.119076397031248,7,0,1982-09-01,1982-09-01,9,1982,18993
137,1850,950,470,18668,0.11796586217199499,12,0,1982-10-01,1982-10-01,10,1982,18668
138,1998,825,385,16768,0.117449127100423,2,0,1982-11-01,1982-11-01,11,1982,16768
152,2079,911,411,16551,0.11698845783893302,7,0,1982-12-01,1982-12-01,12,1982,16551
120,1494,619,281,16231,0.11261053571781,8,0,1983-01-01,1983-01-01,1,1983,16231
95,1057,426,300,15511,0.113657015681422,3,1,1983-02-01,1983-02-01,2,1983,15511
100,1218,475,318,18308,0.11314444525237899,2,1,1983-03-01,1983-03-01,3,1983,18308
89,1168,556,391,17793,0.11849553481535198,6,1,1983-04-01,1983-04-01,4,1983,17793
82,1236,559,398,19205,0.117969401200945,3,1,1983-05-01,1983-05-01,5,1983,19205
89,1076,483,337,19162,0.1176866141183,7,1,1983-06-01,1983-06-01,6,1983,19162
60,1174,587,477,20997,0.12005923896109401,6,1,1983-07-01,1983-07-01,7,1983,20997
84,1139,615,422,20705,0.119437745680998,8,1,1983-08-01,1983-08-01,8,1983,20705
113,1427,618,495,18759,0.11888127178655099,8,1,1983-09-01,1983-09-01,9,1983,18759
126,1487,662,471,19240,0.118462360710195,4,1,1983-10-01,1983-10-01,10,1983,19240
122,1483,519,368,17504,0.118016598400236,3,1,1983-11-01,1983-11-01,11,1983,17504
118,1513,585,345,16591,0.117706622543368,5,1,1983-12-01,1983-12-01,12,1983,16591
92,1357,483,296,16224,0.117776089941536,5,1,1984-01-01,1984-01-01,1,1984,16224
86,1165,434,319,16670,0.114796991716514,3,1,1984-02-01,1984-02-01,2,1984,16670
81,1282,513,349,18539,0.11573525277085,4,1,1984-03-01,1984-03-01,3,1984,18539
84,1110,548,375,19759,0.11535626302472199,3,1,1984-04-01,1984-04-01,4,1984,19759
87,1297,586,441,19584,0.11481536070466801,6,1,1984-05-01,1984-05-01,5,1984,19584
90,1185,522,465,19976,0.11477747788664501,6,1,1984-06-01,1984-06-01,6,1984,19976
79,1222,601,472,21486,0.11493598014753399,7,1,1984-07-01,1984-07-01,7,1984,21486
96,1284,644,521,21626,0.114796991716514,5,1,1984-08-01,1984-08-01,8,1984,21626
122,1444,643,429,20195,0.114093156728444,7,1,1984-09-01,1984-09-01,9,1984,20195
120,1575,641,408,19928,0.116465521799171,7,1,1984-10-01,1984-10-01,10,1984,19928
137,1737,711,490,18564,0.116026113132354,4,1,1984-11-01,1984-11-01,11,1984,18564
154,1763,721,491,18149,0.11606672937937901,7,1,1984-12-01,1984-12-01,12,1984,18149
